movie_id,Name of movie,Year of release,Rating,Votes,Genre
161,Sleepaway Camp II: Unhappy Campers,1988,5.7,10708,"Comedy,Horror"
162,The Pagemaster,1994,6.1,21665,"Animation,Adventure,Comedy"
163,Joe's Apartment,1996,5.5,12761,"Comedy,Fantasy,Musical"
164,Le dîner de cons,1998,7.7,38098,Comedy
165,Süt Kardesler,1976,8.9,18917,"Comedy,Family,Horror"
166,Çöpçüler Krali,1977,8.6,19016,"Comedy,Romance"
167,Les triplettes de Belleville,2003,7.8,51237,"Animation,Comedy,Drama"
168,The Master of Disguise,2002,3.3,22710,"Adventure,Comedy,Family"
169,Pieces of April,2003,7.0,20391,"Comedy,Drama"
170,Garfield,2004,5.0,81078,"Animation,Comedy,Family"
171,Before Sunset,2004,8.1,242621,"Drama,Romance"
172,Hoodwinked!,2005,6.4,57738,"Animation,Comedy,Crime"
173,Reno 911!: Miami,2007,5.9,26385,"Comedy,Crime"
174,Chasseurs de dragons,2008,6.6,12117,"Animation,Action,Adventure"
175,Wendy and Lucy,2008,7.1,16876,Drama
176,Devil,2010,6.2,136462,"Horror,Mystery,Thriller"
177,Les émotifs anonymes,2010,6.9,10764,"Comedy,Romance"
178,[Rec]³: Génesis,2012,5.0,33703,"Horror,Thriller"
179,Carnage,2011,7.2,121568,"Comedy,Drama"
180,Emergo,2011,5.1,11039,"Horror,Thriller"
181,Ernest et Célestine,2012,7.9,19060,"Animation,Adventure,Comedy"
182,Flight 7500,2014,4.8,15193,"Drama,Horror,Sci-Fi"
183,Willow Creek,2013,5.1,10786,"Horror,Mystery,Thriller"
184,XX,2017,4.6,11259,Horror
185,La tortue rouge,2016,7.5,32486,"Animation,Family,Fantasy"
186,Blue Jay,2016,7.3,15459,"Drama,Romance"
187,Mortal Kombat Legends: Scorpion's Revenge,2020,7.5,14155,"Animation,Action,Adventure"
188,Bad Day at Black Rock,1955,7.7,19897,"Crime,Drama,Mystery"
189,The Incredible Shrinking Man,1957,7.6,16558,"Horror,Sci-Fi"
190,Shadows,1958,7.3,10702,"Drama,Romance"
191,Tirez sur le pianiste,1960,7.5,18005,"Crime,Drama,Thriller"
192,Nattvardsgästerna,1963,8.1,22961,Drama
193,Santa Claus Conquers the Martians,1964,2.7,11000,"Adventure,Comedy,Family"
194,Mouchette,1967,7.8,10738,Drama
195,Another Woman,1988,7.3,13232,Drama
196,Look Who's Talking Too,1990,4.7,45046,"Comedy,Family,Romance"
197,Problem Child,1990,5.4,29168,"Comedy,Family"
198,El mariachi,1992,6.9,64203,"Action,Crime,Thriller"
199,Army of Darkness,1992,7.5,165179,"Comedy,Horror"
200,Pocahontas,1995,6.7,174146,"Animation,Adventure,Drama"
201,Toy Story,1995,8.3,908011,"Animation,Adventure,Comedy"
202,Beavis and Butt-Head Do America,1996,6.8,52328,"Animation,Adventure,Comedy"
203,Spy Hard,1996,5.4,36508,"Action,Comedy"
204,Lola rennt,1998,7.7,190449,"Crime,Drama,Thriller"
205,Pâfekuto burû,1997,8.0,62098,"Animation,Crime,Mystery"
206,"South Park: Bigger, Longer & Uncut",1999,7.7,194315,"Animation,Comedy,Fantasy"
207,Superstar,1999,5.1,18197,"Comedy,Romance"
208,Phone Booth,2002,7.0,254274,"Crime,Thriller"
209,The Blair Witch Project,1999,6.5,237644,"Horror,Mystery"
210,Sugar & Spice,2001,5.7,13663,"Comedy,Crime"
211,Kung Pow: Enter the Fist,2002,6.2,44033,"Action,Comedy"
212,Pootie Tang,2001,5.3,13629,"Action,Adventure,Comedy"
213,Ice Age,2002,7.5,450379,"Animation,Adventure,Comedy"
214,From Justin to Kelly,2003,2.1,24787,"Comedy,Musical,Romance"
215,Elephant,2003,7.2,87337,"Crime,Drama,Thriller"
216,The Squid and the Whale,2005,7.3,80052,"Comedy,Drama"
217,Chicken Little,2005,5.7,87481,"Animation,Adventure,Comedy"
218,Daniel der Zauberer,2004,1.7,13901,"Comedy,Crime,Fantasy"
219,Space Chimps,2008,4.5,11001,"Animation,Adventure,Comedy"
220,Brüno,2009,5.8,145261,Comedy
221,The Poughkeepsie Tapes,2007,6.0,16691,"Horror,Mystery,Thriller"
222,Jonah Hex,2010,4.7,56184,"Action,Drama,Fantasy"
223,Yogi Bear,2010,4.6,20777,"Animation,Adventure,Comedy"
224,The Sitter,2011,5.7,68812,Comedy
225,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,6.2,41726,"Comedy,Drama,Family"
226,Excision,2012,6.1,21196,"Comedy,Drama,Horror"
227,Smashed,2012,6.8,16534,Drama
228,Sleepwalk with Me,2012,6.8,11591,Comedy
229,The Gallows,2015,4.3,19503,"Horror,Mystery,Thriller"
230,V/H/S Viral,2014,4.2,15333,"Horror,Thriller"
231,Lights Out,2016,6.3,117950,"Drama,Horror,Mystery"
232,J'ai perdu mon corps,2019,7.6,28311,"Animation,Drama,Fantasy"
233,The Petrified Forest,1936,7.6,12785,"Crime,Drama,Romance"
234,Dracula,1958,7.3,21462,"Drama,Horror"
235,"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika",1967,8.4,11211,"Adventure,Comedy,Romance"
236,Bananas,1971,7.0,34478,Comedy
237,Les 12 travaux d'Astérix,1976,7.7,15937,"Animation,Adventure,Comedy"
238,Wizards,1977,6.5,10845,"Animation,Adventure,Fantasy"
239,The Secret of NIMH,1982,7.6,37041,"Animation,Adventure,Drama"
240,This Is Spinal Tap,1984,7.9,131290,"Comedy,Music"
241,The Purple Rose of Cairo,1985,7.7,47896,"Comedy,Fantasy,Romance"
242,The Toxic Avenger,1984,6.2,25587,"Action,Comedy,Horror"
243,The Little Rascals,1994,6.3,44755,"Comedy,Family,Romance"
244,Dirty Work,1998,6.4,24047,Comedy
245,Half Baked,1998,6.7,58980,"Comedy,Crime"
246,A Night at the Roxbury,1998,6.2,57861,"Comedy,Music,Romance"
247,Dinosaur,2000,6.5,55132,"Animation,Adventure,Family"
248,Lake Placid,1999,5.7,56004,"Action,Comedy,Horror"
249,Kevin & Perry Go Large,2000,5.6,12667,"Comedy,Music"
250,Jimmy Neutron: Boy Genius,2001,6.0,31570,"Animation,Action,Adventure"
251,Orange County,2002,6.2,47622,"Comedy,Drama"
252,The Cat in the Hat,2003,4.0,58848,"Adventure,Comedy,Family"
253,Edmond,2005,6.2,11445,"Drama,Thriller"
254,Garfield: A Tale of Two Kitties,2006,5.0,40082,"Animation,Adventure,Comedy"
255,10 Items or Less,2006,6.6,14554,"Comedy,Drama"
256,À l'intérieur,2007,6.8,38199,Horror
257,Trick 'r Treat,2007,6.8,82214,"Comedy,Horror"
258,Splinter,2008,6.1,34275,"Horror,Sci-Fi,Thriller"
259,The Final Destination,2009,5.2,98821,"Action,Horror,Thriller"
260,Cats & Dogs: The Revenge of Kitty Galore,2010,4.4,14286,"Animation,Action,Adventure"
261,Columbus Circle,2012,6.0,10372,"Crime,Drama,Mystery"
262,Rubber,2010,5.8,34949,"Comedy,Fantasy,Horror"
263,Vampires Suck,2010,3.4,47038,"Comedy,Family,Horror"
264,The Collection,2012,6.1,46564,"Horror,Thriller"
265,Tomboy,2011,7.4,19043,Drama
266,Scenic Route,2013,6.5,10447,"Drama,Thriller"
267,Ida,2013,7.4,54634,Drama
268,Visions,2015,5.4,10153,"Drama,Horror,Mystery"
269,Terrifier,2016,5.6,15015,"Horror,Thriller"
270,Taxi,2015,7.3,14167,"Comedy,Drama"
271,Emelie,2015,5.4,13622,"Horror,Mystery,Thriller"
272,Hush,2016,6.6,109570,"Horror,Thriller"
273,Wheelman,2017,6.4,18383,"Action,Crime,Thriller"
274,Between Two Ferns: The Movie,2019,6.1,27855,Comedy
275,The Public Enemy,1931,7.7,18380,"Crime,Drama"
276,Trouble in Paradise,1932,8.0,13415,"Comedy,Crime,Romance"
277,Snow White and the Seven Dwarfs,1937,7.6,185010,"Animation,Family,Fantasy"
278,Bud Abbott Lou Costello Meet Frankenstein,1948,7.4,15093,"Comedy,Fantasy,Horror"
279,D.O.A.,1949,7.3,11025,"Drama,Film-Noir,Mystery"
280,Old Yeller,1957,7.3,12255,"Adventure,Drama,Family"
281,"Faster, Pussycat! Kill! Kill!",1965,6.7,14040,"Action,Comedy"
282,Dark Star,1974,6.3,22747,"Comedy,Sci-Fi"
283,Robin Hood,1973,7.6,118236,"Animation,Adventure,Comedy"
284,The Texas Chain Saw Massacre,1974,7.5,141309,Horror
285,The Kentucky Fried Movie,1977,6.5,17473,Comedy
286,Attack of the Killer Tomatoes!,1978,4.6,12883,"Adventure,Comedy,Horror"
287,The Fox and the Hound,1981,7.3,86625,"Animation,Adventure,Drama"
288,Police Academy 3: Back in Training,1986,5.4,43306,Comedy
289,Khane-ye doust kodjast?,1987,8.1,11521,"Drama,Family"
290,The Little Mermaid,1989,7.6,242536,"Animation,Family,Fantasy"
291,Henry: Portrait of a Serial Killer,1986,7.0,32984,"Biography,Crime,Drama"
292,Career Opportunities,1991,5.9,11948,"Comedy,Romance"
293,Naked Gun 33 1/3: The Final Insult,1994,6.5,99145,"Comedy,Crime"
294,Police Academy: Mission to Moscow,1994,3.5,32347,"Comedy,Crime"
295,The Doom Generation,1995,6.1,14032,"Comedy,Crime,Drama"
296,Kôkaku Kidôtai,1995,8.0,132595,"Animation,Action,Crime"
297,Antz,1998,6.5,148129,"Animation,Adventure,Comedy"
298,Spirit: Stallion of the Cimarron,2002,7.2,67901,"Animation,Adventure,Drama"
299,Universal Soldier: The Return,1999,4.2,28148,"Action,Sci-Fi"
300,"Dude, Where's My Car?",2000,5.5,135813,"Comedy,Mystery,Sci-Fi"
301,Kibar Feyzo,1978,8.7,15303,"Comedy,Romance"
302,Scary Movie 2,2001,5.3,151818,Comedy
303,Over the Hedge,2006,6.7,163108,"Animation,Adventure,Comedy"
304,Scary Movie 4,2006,5.1,115274,Comedy
305,Deuce Bigalow: European Gigolo,2005,4.7,49196,Comedy
306,The Man,2005,5.6,25069,"Action,Comedy,Crime"
307,An American Haunting,2005,5.1,24941,"Drama,History,Horror"
308,Date Movie,2006,2.8,57793,"Comedy,Romance"
309,Frequently Asked Questions About Time Travel,2009,7.1,32777,"Comedy,Sci-Fi"
310,College Road Trip,2008,4.3,15514,"Adventure,Comedy,Drama"
